Resource,Zone,ExistingCap_MW,EndCap_MW_p1,EndCap_MW_p2,EndCap_MW_p3,Cap_Size_MW,RetCap_p1,RetCap_p2,RetCap_p3,NewCap_p1,NewCap_p2,NewCap_p3
SPPS_utilitypv_class1_moderate_5,1,0.0,0.0042397227648405394,0.012912112587390641,0.019407617919192693,1.0,0.0,0.0010184570574199355,0.0071414360141864655,0.0042397227648405394,0.009690846879970037,0.013636941345988515
TRE_naturalgas_ccccsavgcf_conservative_0,2,0.0,5317.344272448087,11523.687074854215,12634.05123129253,500.0,0.0,1.8034675746915246e-6,10.634691855009837,10.634688544896175,12.412687408279835,12.855420167886463
TRE_naturalgas_ccavgcf_moderate_0,2,0.0,0.007740586328747104,0.03681691828849214,0.0470917084159662,500.0,0.0,3.1888868528841603e-6,2.5133601552173523e-5,1.5481172657494208e-5,6.134155077237424e-5,4.568318180712166e-5
TRE_naturalgas_ctavgcf_moderate_0,2,0.0,0.0016414851724007333,0.005760381074494189,0.004812446724532895,100.0,0.0,7.987482281523575e-6,4.197904186111158e-5,1.641485172400733e-5,4.9176441302458136e-5,3.249969836149864e-5
TRE_battery_moderate_0,2,0.0,1794.6556745380653,8571.957698999902,21797.147896851347,1.0,0.0,0.004443287523829954,1794.662048955689,1794.6556745380653,6777.306467749361,15019.852246807135
TRE_nuclear_nuclear_moderate_0,2,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_hydrogen_ctavgcf_moderate_0,2,0.0,0.0015321769827929613,0.0053348018641570325,0.0044105243013844156,100.0,0.0,7.439549265378295e-6,3.8914361707217984e-5,1.532176982792961e-5,4.546579807901901e-5,2.9671586079491817e-5
TRE_hydrogen_ccavgcf_moderate_0,2,0.0,0.0012879835283727604,0.004638606094141845,0.003862129695828619,500.0,0.0,1.240656562732756e-6,6.7225055536719925e-6,2.5759670567455206e-6,7.941901694270927e-6,5.16955275704554e-6
TRE_landbasedwind_class3_moderate_0,2,0.0,0.08110208535346183,1.6415920896787621,8461.643579228356,1.0,0.0,0.001366596387545368,0.08337596033843611,0.08110208535346183,1.5618566007128454,8460.085363099015
TRE_landbasedwind_class3_moderate_1,2,0.0,41513.87667378815,54601.10029898569,62465.48617968416,1.0,0.0,0.0014826960883608641,41513.87922147017,41513.87667378815,13087.22510789362,49378.26510216863
TRE_landbasedwind_class3_moderate_2,2,0.0,0.007453539605967061,0.03083774760264904,0.06584910556162946,1.0,0.0,0.0011096825713342732,0.014026053868133152,0.00745353960596706,0.02449389056801625,0.04903741182711356
TRE_landbasedwind_class3_moderate_3,2,0.0,0.007542898488596152,0.031143198357933558,0.03905627537244518,1.0,0.0,0.0014927301758860148,0.020104671485517707,0.007542898488596152,0.025093030045223418,0.028017748500029332
TRE_landbasedwind_class3_moderate_4,2,0.0,0.0008508525225551118,0.0031166362848561694,0.002828350339406119,1.0,0.0,0.0003022337937767936,0.002262857584555994,0.0008508525225551118,0.002568017556077851,0.001974571639105943
TRE_landbasedwind_class3_moderate_5,2,0.0,0.003555006708742068,0.007532639872054573,0.007309697161681656,1.0,0.0,0.0015423694338221106,0.005399304074369251,0.003555006708742068,0.005520002597134616,0.005176361363996334
TRE_utilitypv_class1_moderate_0,2,0.0,23746.414839154808,41248.241033938415,56651.09179055572,1.0,0.0,0.001821728942408873,23746.417630395117,23746.414839154808,17501.82801651255,39149.268387012424
TRE_utilitypv_class1_moderate_1,2,0.0,1.5329070918627443,39.25425881698307,9235.263586519486,1.0,0.0,0.0019227558203875643,1.5359004404273189,1.5329070918627443,37.7232744809407,9197.54522814293
